,Count
"Давлат органи, давлат иштирокидаги ташкилот ёки фуқароларнинг ўзини ўзи бошқариш органи хизматчисининг қонунга хилоф равишда моддий қимматликлар олиши ёки мулкий манфаатдор бўлиши",42
Ҳайвонот ёки ўсимлик дунёсидан фойдаланиш тартибини бузиш,41
Ўзбекистон Республикаси Президентига тажовуз қилиш,39
Ўзини ўзи ўлдириш даражасига етказиш,37
Суд ҳужжатини ижро этмаслик,35
Шахсга доир маълумотлар тўғрисидаги қонун ҳужжатларини бузиш,34
"Экинзор, ўрмон ёки бошқа дов-дарахтларга шикаст етказиш ёки уларни нобуд қилиш",29
Далилларни сохталаштириш (қалбакилаштириш),28
"Ер, ер ости бойликларидан фойдаланиш шартларини ёки уларни муҳофаза қилиш талабларини бузиш",27
Компьютер ахборотини модификациялаштириш,26
Пора олиш-беришда воситачилик қилиш,21
"Тарих ёки маданият ёдгорликларини нобуд қилиш, бузиш ёки уларга шикаст етказиш",20
Ёнғин хавфсизлиги қоидаларини бузиш,19
Терроризмни молиялаштириш,19
Тиланчилик қилиш,19
Алдаш ёки ишончни суиистеъмол қилиш йўли билан мулкий зарар етказиш,18
Шахсий ҳаёт дахлсизлигини бузиш,17
Диний таълимотдан сабоқ бериш тартибини бузиш,17
"Миллий, ирқий, этник ёки диний адоват қўзғатиш",16
Шахснинг шаънини ва қадр-қимматини камситувчи ҳамда инсон ҳаётининг сир тутиладиган томонларини акс эттирувчи маълумотларни ошкор қилиш,15
Маст ҳолдаги шахснинг транспорт воситасини бошқаришига йўл қўйиш,14
Қабрни таҳқирлаш,14
Гиёвандлик воситалари ёки психотроп моддаларни қонунга хилоф равишда эгаллаш,14
Терроризм,14
Жазони ижро этиш муассасаси маъмуриятининг қонуний талабларига бўйсунмаслик,13
Қамоқдан ёки қўриқлов остидаги сақлаш жойидан қочиш,12
Аёлни эрга тегишга мажбур қилиш ёки унинг эрга тегишига тўсқинлик қилиш,12
"Қурол-яроғлар, ўқ дорилар ва портлови моддаларни ғайри-қонуний равишда олиб юриш, сақлаш, сотиб олиш, ясаш ва сотиш",12
Жиноий уюшма ташкил этиш,12
Қонунга хилоф равишда ушлаб туриш ёки ҳибсга олиш,12
Хусусий мулк ҳуқуқини бузиш,11
"Диний мазмундаги материалларни қонунга хилоф равишда тайёрлаш, сақлаш, олиб кириш ёки тарқатиш",11
"Қийноққа солиш ва бошқа шафқатсиз, ғайриинсоний ёки қадр-қимматни камситувчи муомала ҳамда жазо турларини қўллаш",11
Тергов қилишга ёки суд ишларини ҳал этишга аралашиш,11
Тадбиркорлик субъектларининг фаолиятини текшириш ва молия-хўжалик фаолиятини тафтиш қилиш тартибини бузиш,11
"Порнографик маҳсулотни тайёрлаш, олиб кириш, тарқатиш, реклама қилиш, намойиш этиш",11
"Зўравонликни ёки шафқатсизликни тарғиб қилувчи маҳсулотни тайёрлаш, олиб кириш, тарқатиш, реклама қилиш, намойиш этиш",10
"Бактериологик, кимёвий ва бошқа хил ялпи қирғин қуроллари турларини ишлаб чиқиш, ишлаб чиқариш, тўплаш, олиш, бировга ўтказиш, сақлаш, қонунга хилоф равишда эгаллаш ва улар билан бошқа ҳаракатларни содир этиш",10
Ёлланиш,10
Жисмоний ва юридик шахсларнинг мурожаатлари тўғрисидаги қонун ҳужжатларини бузиш,9
Суғориладиган ерларни ўзбошимчалик билан эгаллаб олишга йўл қўймаслик бўйича чоралар кўрмаслик,8
Кўп хотинли бўлиш,8
Тайёрланаётган ёки содир этилган террорчилик ҳаракатлари тўғрисидаги маълумотлар ва фактларни хабар қилмаслик,8
Жамоат бирлашмалари ёки диний ташкилотларни қонунга хилоф равишда тузиш,8
"Йиғилишлар, митинглар, кўча юришлари ёки намойишлар уюштириш, ўтказиш тартибини бузиш",8
Оммавий тартибсизликлар,8
Ноқонуний тадбиркорлик фаолияти,8
Кучли руҳий ҳаяжонланиш ҳолатида қасддан баданга оғир ёки ўртача оғир шикаст етказиш,6
"Рангли металлар, уларнинг парча ва резги чиқитларини тайёрлаш, олиш, улардан фойдаланиш ҳамда уларни ўтказиш қоидаларини бузиш",6
Давлат проба тамғаларини тайёрлаш ва улардан фойдаланиш қоидаларини бузиш,6
"Зарурий мудофаа чегарасидан четга чиқиб, қасддан баданга оғир шикаст етказиш",6
"Тоғ-кон, қурилиш ёки портлатиш ишлари хавфсизлиги қоидаларини бузиш",6
Кучли таъсир қилувчи ёки заҳарли моддаларни қонунга хилоф равишда эгаллаш,6
"Давлат органининг, давлат иштирокидаги ташкилотнинг ёки фуқаролар ўзини ўзи бошқариш органининг хизматчисини пора эвазига оғдириб олиш",5
Санитарияга оид қонун ҳужжатларини ёки эпидемияга қарши кураш қоидаларини бузиш,5
Ўзбекистон Республикасининг манфаатларига хилоф равишда битимлар тузиш,4
"Зарурий мудофаа чегарасидан четга чиқиб, қасддан одам ўлдириш",4
Мулкни қўриқлашга виждонсиз муносабатда бўлиш,3
Портлаш хавфи бўлган моддалар ёки пиротехника буюмларидан фойдаланиш қоидаларини бузиш,3
Жиноий равишда ҳомила тушириш (аборт),3
Чет эл валютасини яшириш,3
Радиоактив материалларни қонунга хилоф равишда эгаллаш,3
"Адолатсиз ҳукм, ҳал қилув қарори, ажрим ёки қарор чиқариш",3
Жиноятни хисобга олишдан касддан яшириш,3
Зарарли кимёвий моддалар билан муомалада бўлиш қоидаларини бузиш,2
Муаллифлик ёки ихтирочилик ҳуқуқларини бузиш,2
Шахсни гаров сифатида тутқунликка олиш,2
Виждон эркинлигини бузиш,2
Суриштирув ёки дастлабки тергов маълумотларини ошкор қилиш,2
Айбсиз кишини жавобгарликка тортиш,2
"Белгиланган тақиқларни (чекловларни) бузган ҳолда биноларни, иншоотларни ёки бошқа объектларни қуриш, реконструкция қилиш ва капитал таъмирлаш",2
Тадбиркорлик субъектларини ҳомийликка ва бошқа тадбирларга мажбурий жалб этиш,2
Сохта банкротлик,2
Тезкор-қидирув фаолияти натижаларини сохталаштириш (қалбакилаштириш),2
Фарзандликка олиш сирини ошкор қилиш,2
Жинсий эҳтиёжни зўрлик ишлатиб ғайритабиий усулда қондириш,2
"Ўқотар қурол, ўқ-дорилар, портловчи моддалар ёки портлатиш қурилмаларини қонунга хилоф равишда эгаллаш",2
Лицензиялаш тўғрисидаги қонун ҳужжатларини ва рухсат бериш тартиб-таомиллари тўғрисидаги қонун ҳужжатларини бузиш,2
Атроф табиий муҳитни ифлослантириш,2
Кучли руҳий ҳаяжонланиш ҳолатида қасддан одам ўлдириш,2
Учувчисиз учадиган аппаратларни сақлаш ва улардан фойдаланиш тартибини бузиш,2
Ер участкасини ноқонуний олиб қўйиш,2
Гиёвандлик воситалари ёки психотроп моддалар ишлаб чиқариш ёки улардан фойдаланиш қоидаларини бузиш,2
Телекоммуникация тармоғидан қонунга хилоф равишда (рухсатсиз) фойдаланиш,2
Номусга тегиш,1
Ўқотар қурол ёки ўқ-дориларни бепарволик билан сақлаш,1
"Қонунга хилоф равишда ахборот тўплаш, уни ошкор қилиш ёки ундан фойдаланиш",1
"Сайлов ёки референдум ташкил қилиш, уларни ўтказиш тўғрисидаги қонун ҳужжатларини бузиш",1
Ўн олти ёшга тўлмаган шахс билан жинсий алоқа қилиш,1
"Темир йўл, денгиз, дарё ёки ҳаво транспортининг ҳаракати ёки улардан фойдаланиш хавфсизлиги қоидаларини бузиш",1
Транспортни таъмирлаш ёки уни фойдаланишга чиқариш қоидаларини бузиш,1
Фуқароларнинг тенг ҳуқуқлилигини бузиш,1
Ахборотлаштириш қоидаларини бузиш,1
Гиехвандлик воситасини озгинадан купрок микдорда конунга хилоф равишда сотиш,1
Савдо ёки воситачилик фаолияти билан қонунга хилоф равишда шуғулланиш,1
Инсон аъзолари ёки тўқималарини ажратиб олиш,1
Аёлни ўз ҳомиласини сунъий равишда туширишга мажбурлаш,1
Ўзини ўзи ўлдиришга ундаш,1
Болани чет давлат ҳудудида назоратсиз қолдириш,1
Ота-онани моддий таъминлашдан бўйин товлаш,1
Буйруқни бажармаслик,1
